300201,432301,583201,_id,year,month,day,date
23.9,23.7,24.3,5f58f72a00db8d380472b679,2012,1,1,2012-01-01T00:00:00.000Z
23.9,23.2,25.4,5f58f72a00db8d380472b67a,2012,1,2,2012-01-02T00:00:00.000Z
24,25,25.4,5f58f72a00db8d380472b67b,2012,1,3,2012-01-03T00:00:00.000Z
23.9,25.4,25.7,5f58f72a00db8d380472b67c,2012,1,4,2012-01-04T00:00:00.000Z
23.4,23.5,25.9,5f58f72a00db8d380472b67d,2012,1,5,2012-01-05T00:00:00.000Z
22,23.6,26.5,5f58f72a00db8d380472b67e,2012,1,6,2012-01-06T00:00:00.000Z
21.2,22.8,25.9,5f58f72a00db8d380472b67f,2012,1,7,2012-01-07T00:00:00.000Z
20.4,22,25,5f58f72a00db8d380472b680,2012,1,8,2012-01-08T00:00:00.000Z
21,21.9,25.6,5f58f72a00db8d380472b681,2012,1,9,2012-01-09T00:00:00.000Z
22,22.6,25.8,5f58f72a00db8d380472b682,2012,1,10,2012-01-10T00:00:00.000Z
21.6,22.9,26.2,5f58f72a00db8d380472b683,2012,1,11,2012-01-11T00:00:00.000Z
22.6,20.7,25.9,5f58f72a00db8d380472b684,2012,1,12,2012-01-12T00:00:00.000Z
22.8,23.6,26.6,5f58f72a00db8d380472b685,2012,1,13,2012-01-13T00:00:00.000Z
23,24.7,25.4,5f58f72a00db8d380472b686,2012,1,14,2012-01-14T00:00:00.000Z
19.8,26.6,25.8,5f58f72a00db8d380472b687,2012,1,15,2012-01-15T00:00:00.000Z
17.5,26.3,26.7,5f58f72a00db8d380472b688,2012,1,16,2012-01-16T00:00:00.000Z
17.6,26.6,26.4,5f58f72a00db8d380472b689,2012,1,17,2012-01-17T00:00:00.000Z
18.3,27.9,26.9,5f58f72a00db8d380472b68a,2012,1,18,2012-01-18T00:00:00.000Z
18.7,27.5,26.6,5f58f72a00db8d380472b68b,2012,1,19,2012-01-19T00:00:00.000Z
19.7,25.7,25.7,5f58f72a00db8d380472b68c,2012,1,20,2012-01-20T00:00:00.000Z
20,26.9,26.7,5f58f72a00db8d380472b68d,2012,1,21,2012-01-21T00:00:00.000Z
18.2,26.2,26.8,5f58f72a00db8d380472b68e,2012,1,22,2012-01-22T00:00:00.000Z
18.5,26.2,27.3,5f58f72a00db8d380472b68f,2012,1,23,2012-01-23T00:00:00.000Z
